County/City,,,"Barbara Jean Comstock","Luann L. Bennett","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
"Clarke County",,,"4,988","2,895",33,0,"7,916"
"Fairfax County",,,"55,268","52,976",419,0,"108,663"
"Frederick County",,,"27,900","11,677",158,0,"39,735"
"Loudoun County",,,"89,358","89,523",726,0,"179,607"
"Manassas City",,,"6,718","8,045",66,0,"14,829"
"Manassas Park City",,,"2,036","3,046",21,0,"5,103"
"Prince William County",,,"19,026","14,580",152,0,"33,758"
"Winchester City",,,"5,497","4,970",39,0,"10,506"
TOTALS,,,"210,791","187,712","1,614",0,"400,117"
